Car Name,Mileage,Dealer Name,Rating,Review Count,Price,Badge Label,Reviews,Car Rating
2008 Mazda Mazda3 s Touring,"137,041 mi.",Planet Honda,4.6,"(4,623 reviews)","$5,193",Great Deal,"['April 12, 2021\nBy Jen k from Canton, ma\nOwns this car', ""Very basic, good on gas, the heat and AC are very weak. The brakes have always been a bit squishy. I wish they were tighter. Otherwise, it's ok."", 'August 15, 2020\nBy Keriberi from Jefferson, GA\nOwns this car', 'Great Reliable Car. Will last years if taken care of. Has a little get up and go power. A lot of body kits and accessories out there to really dress her up.', 'April  7, 2020\nBy kcrisc from Stafford, VA\nOwns this car', ""This car meets all my needs. The ride is like smooth and it handles like a sedan should. It has plenty of space for a family.  It's just the right size. Plus has very comfortable seats and is loaded with technology.""]",5.0
2013 Lexus RX 350 ,"127,536 mi.",DCH Montclair Acura,4.8,"(2,615 reviews)","$14,990",Good Deal | $123 under,"['October 10, 2022\nBy AzDrm  from SunCityWest Az \nOwns this car', 'After owning my Lexus ES 350 for over a year and desiring a larger vehicle it was a very easy decision to get a Rx due to the reviews and size. Very happy with my decision.', 'March 12, 2021\nBy Cindy from Las Vegas, NV\nOwns this car', 'I love driving this car!  The comfort and quality of everything is excellent.  It drives so nice on bumps and take corners great.  You can just feel the luxury when you drive a Lexus.', 'March  3, 2021\nBy Family guy\nOwns this car', 'Absolute value for quality of the car you could buy. Engine is Smooth as silk and doesn’t feel like driving a SUV. Though it is not European car, the quality is top notch and reliability is the best you could get for the price you pay. Great investment for the transportation. Would buy it again in a heartbeat.']",5.0
2018 Ford Escape SE,"78,922 mi.",Auto Lux,3.8,(79 reviews),"$11,989","Great Deal | $2,354 under","['July 14, 2023\nBy Theresa dodig  from Cleveland ohio \nOwns this car', ""bought new in 2018 my informant information panel went black can't  get it to work all I know it was raining and it went black IAM not the only person this happened to on Facebook there are quite a lot of people with the same problem they need to have a recall on the speed odometer"", 'June  8, 2023\nBy Lamar from Montgomery al\nOwns this car', 'Paid 32000 dollars and got 100000 miles when motor blows up and 10000 dollars to replace motor. Definitely will never buy another piece of xxxx ford!!!', 'May 17, 2023\nBy Pa girl from Trevorton pa \nOwns this car', ""At 80,000 the small engine block went out that was over $6000 to repair.... 13,000 miles later the transmission went out another $6,000. I always get it serviced when it is due so that's not the issue. The dealer told me this make and model is know for it mainly the 1.5 liter engine. Be aware! Now the auto stop start won't work and the exhaust is having issues. I'm highly upset.""]",3.8
2021 Chevrolet Equinox 1LT,"57,237 mi.",Auto Lux,3.8,(79 reviews),"$14,439",n/a,"['May 19, 2023\nBy Cathy sutts from Davie fl\nOwns this car', ""Had to replace fuel pump shortly after the purchase ... constantly getting stuck at locations because vehicle wouldn't \r\nstart ... now I'm hearing about recall for tires"", 'March 11, 2023\nBy Kamaran from Iraq erbil\nOwns this car', 'Nice car compare to price it has nice style and roomy inside i had 2009 i think both are nice even i was worried to buy first then took decessiin', 'December 25, 2022\nBy Rindy from Upper Sandusky, OH\nOwns this car', ""Very happy we bought this when we did! Rebate still in effect, & trade-in values higher than normal for our old vehicle.\r\nCouldn't be happier with this vehicle!\r\nExcellent value for the money. Easy to see why it's GM's best selling vehicle.""]",3.8
2016 BMW 328 i,"100,050 mi.",Prestige of Avenel,4.6,(404 reviews),"$13,995","Great Deal | $1,240 under","['May  7, 2023\nBy Iam an artist and have lots f free time to enjoy my driving my car up and down from seattle to california and canada! lots of fun and power. from seattle wa\nOwns this car', 'Absolutley one of the best cars I ever owned. BMW is the power Period. Mine is styled to the max with carbon fibers and sport wheels and so on. When I drive it out there every oe looks at it as if t is the m4 running around a real headd turner thanksto BMW. eASY TO CUSTOPISE IT TOO.\r\n\r\nLOVE MY CAR..WILL BUY EVEN BETTER MODEL NEXT 2 YEARS OR SO...', 'May 12, 2021\nBy Margaret from Marysville,  ca\nOwns this car', 'So many issues in the first 60 days! The dealership ignored my concerns with safety check obviously were not done. Bent rims, bad rotars brakes, screen went out.', 'March 30, 2021\nBy Javs from Bridgeport , CT\nOwns this car', 'This car is exactly what I was looking for. very happy with it. color and style is perfect. the car is in great condition . I will definitely recommend it.']",4.6
2017 Honda Accord LX,"70,409 mi.",Auto Expo Ent Inc,4.3,"(1,292 reviews)","$13,995",Good Deal | $172 under,"['April 24, 2023\nBy Vera from Parma, OH\nOwns this car', 'I like my car:\r\nWorks reliably, drove long distances without any problem.\r\n\r\nAfter 5 years, LED lighting stopped shining, but Honda Service replaced it, re-extending the warranty. Thanks, Bradley.', 'March  3, 2023\nBy Recently retired  from Bayamon, PR\nOwns this car', 'I’ve had a 2017 Accord Sport since new and I am completely satisfied with gas consuming and the auto performance. Service for the car has been all given at dealership where it was purchased', 'March 20, 2022\nBy Larry L from Charlotte, NC\nOwns this car', 'I purchased my black on black 2017 Accord EX-L Sedan with Navigation and Sensing Suite in early January 2020. I came from a 2003 Civic EX Sedan which was some serious technology shock for me.  After being in a horrible high speed car with a friend in his 2001 Civic LX Sedan and him dying the following it scared me. I wanted larger, heavier and modern safety features with comfort and fuel efficiency. But this is the most comfortable and nicest car that I have ever had the privilege of owning. Nit to mention for a big black sedan, Raven is just sexy.']",4.3
2014 Honda Accord EX-L,"193,890 mi.",DCH Paramus Honda,4.9,"(5,538 reviews)","$8,595",Great Deal | $144 under,"['December 25, 2022\nBy Bobby from Houston, Texas \nOwns this car', ""Be ready for things to break down. Have changed CVT, starter, catalytic converter. Car is prone to problems. Electrical issues seem possible but I haven't had too many issue with it. Bought it at 60k miles transmission went completely out at 150k. I'm at 220K miles right now and will see how it goes. Overall it's a good car somewhat reliable and I have gotten my moneys worth. I use this car for delivery use.  Bought this car for the brakes, brakes ended up being one of the worst parts of this car. Better than a lot of cars out there. Would prefer this car to a Camry or Corolla. I like the handling and the horsepower. The gas mileage is good. The front seats are very bad comfort wise while the backseats are good. Side mirrors give very bad distortion wise it's very hard to tell exactly whose in the lane next to you, you have to look multiple times and turn your head to be sure."", 'May 10, 2021\nBy Pax from New Windsor, NY\nOwns this car', 'Ex-l coupe. \nIt’s a honda\nComfort, style, quality, affordable to repair and readability.\nEtcetera, etcetera, etcetera.\n3.5 L engine has more omf.  Fun to drive. Ride is a bit ruff but not terrible.', 'March  4, 2021\nBy Virginia from No ne\nUsed to own this car', 'Everything best car I every owned . Love Him ndas great car for the money. Of I had the money I would buy one again']",5.0
2010 Scion tC ,"119,992 mi.",DCH Paramus Honda,4.9,"(5,538 reviews)","$7,395",Good Deal,"['December 30, 2022\nBy Scion from Provo\nOwns this car', 'I just bought this vehicle from its original owner in 2022! It has 101,000 miles and is in incredible condition. My mechanic was surprised and said he thought it looked like it was in REALLY good condition. I have done 3 road trips now over 1,000 miles each one and let me tell you this car is reliable! My German shepherd has a ton of extra room with the back seats laid down, my big dog loves this car. \r\nReliable, fuel efficient 30mpg freeway and overall comfort is amazing. It is surprisingly has low road noise and that shocked me being a coupe I thought it would be louder on highway speeds. \r\nIf you can find one today with under 200k miles for under 4k it’s a great deal! \r\nI got mine for 2,400!!!!', 'September 14, 2020\nBy mohin718 from queens village\nOwns this car', 'this car after 5 years will need a new engine becuase it burns like 8qts of oil between oil changes.   good for short term use thwm junk it.  toyota doesnt care.  If u dnt have warranty , they will just say sooryy good luck.', 'April 26, 2020\nBy Jamesgreenwoo from Lumberton\nOwns this car', 'The car is Funtastic I love it already got it up to a hundred and twenty five mile per hour on the highway great performance plenty of legroom lovely all power sunroof is great and love the cruise control most of all']",5.0
2012 Jeep Liberty Sport,"127,370 mi.",Euro Motor Haus,3.1,(58 reviews),"$5,894",n/a,"['May  7, 2023\nBy Emmanuel Alalibo  Gouldekeke 2 from Nigeria\nOwns this car', 'My jeep liberty 2012 is parked. It could only do 25km/hr on the road. Gas pedal not working anymore. Just 2616 miles. I need a help to cruise this car', 'April 22, 2023\nBy Robb from Illinois\nOwns this car', 'I love my Liberty! I was inspired to buy mine (used) after temporarily inheriting my Dad’s 2008 Liberty.\r\nI’ll comment on the 2008, then the 2012.\r\n2008:  Bought brand new out of the showroom; it was an everyday driver and has been very reliable.  No problems with the engine or transmission, 4-wheel drive works great.  Some very minor issues with the power window switch, it stopped working, but easy fix.  The AC takes a little while to cool the interior down, but it hasn’t been serviced or recharged.  This Liberty just turned 300,000 and is still running well!\r\n\r\n2012 bought used with 65,000.  This Liberty is also a daily driver.  The engine and Transmission are fine, no issues.  The 4-wheel drive system has been good as well.  Used it several times on snowy unplowed Wisconsin roads and it has been solid.  Holds skis, snowboards really well.  Biggest service item will be new tires.  One minor issue with the AM/FM radio, the receiver chip in the radio went bad, so no AM/FM.  But the CD and Jack work fine.  This Liberty just crossed 125,000 and is running like a champ.\r\n\r\nFinal note:  I hated the look and everything about the Liberty when my Dad bought his. Then I drove it.  Complete game changer; now I absolutely love it!', 'November  3, 2022\nBy Geido Zanetti from Georgia\nOwns this car', 'Bought this vehicle new for my daughter. Regular service and maintenance with no major issues. Vehicle currently has 167,000 and still going strong. Hope for least another 100,000.']",3.1
2018 Ford Fusion S,"31,214 mi.",Turn Auto Mall,n/a,(3 reviews),"$14,595",Good Deal,"['October 28, 2022\nBy Chris from Osceola, IN\nOwns this car', ""Have a 110k miles on my 2014 Fusion.  It never breaks, just keeps going.  Tires, breaks and oil changes that about it.  Have the 2.0L Turbo with FWD.  When I first got it I put 80k in the first four years but now I live close to work and don't put many miles on it.  Out of the 8 years I have it had nothing has broken, beside two fender benders.  Other cars I have sold after a few years but this one has been so good I kept it, I'm going to give it to my son when he is old enough to drive in a few years."", 'August 14, 2022\nBy Tara from Marietta, GA\nOwns this car', ""I bought this car used, after talking to many ford owners, most were really happy with their  Purchase. I Have owned this car for about a year and a 1/2. The transmission already had to get fixed.. A year later the wrench light comes back on and it seems to be a gear shift control module problem or a wiring problem. Of course this isn't covered under warranty. Now the cv joints are bad. I got it with 70,000 miles on it, now has 140,000 I only owned nissans, or honda's or toyota's in the past. It wasn't  until close to 200,000 did my axle or other problems needed to be fixed. Those cars were also easier and cheaper to fix. With no help and being on disability, this car has put a stop to me making extra money to buy food, go to the dr or pay for any necessities I need.  I  needed a reliable car to last me for a while so i can build money up. I really want to thank FORD and the unreliable reviews for making a junk car that i have to keep fixing. This car has put my health at an extreme risk. I am sad that this company will rip you off anyway they can.  My other car places would do anything and everything to help me.  After talking to a few other ford owners i just met, I also found out thay when they brought their vehicle into a dealership, they came out with more problems with their cars and of course NOT covered under warranty. I also want to mention, the first time i brought my car into dealership to have transmission work done, my car sat there for a month and half not being worked on because an employee quit and they didn't know who the car belonged to, or what it was in there for. The transmission got messed up after an accident. One year later the wrench light comes on. Not covered under warranty. They take no responsibilty. I told them i was sure the control module needed fixing then.  As far as corporate, they have a tendency to blow you off. As long as they make money, they are happy."", 'May  1, 2022\nBy Kylie from North Carolina, Greensboro\nUsed to own this car', 'So I got the 2018 Ford Fusion in 2019. Sadly I got into a wreck and it was totaled. But, overall a great car.s I only had this car for 3 years, originally had 24K miles and ended it with 61K. There were only a couple problems with one being my electric side completely shut off in the road randomly, and I couldn’t move my steering wheel at all. Luckily it was a cheap and easy fix and only took about a day. Other than that I had no problems with basic low tire pressure (which might have been my fault) I am trying to find a 2018 Ford Fusion in my new car search, highly suggest and cheap to insure!']",4.8
2016 Audi A4 2.0T Premium,"92,124 mi.",NJ State Auto Used Cars,4.2,(672 reviews),"$14,359",Good Deal,"['April 22, 2021\nBy Tommy from San Antonio tx\nOwns this car', 'This car is way over rated. Transmission is sluggish and delayed. Not satisfied at all. Hidden finance charges totaling sixteen thousand dollars.horrible customer service worse service ever.', 'November  9, 2020\nBy Ewell34 from Springfield\nOwns this car', 'I bought this car over a year ago. I had no problems after driving it for 11000 miles. Very comfortable ride and nice performance on the highway. Would definitely recommend', 'September  5, 2020\nBy Someguy\nOwns this car', 'Solid, great looking, fun to drive. Glad to have the 2016 instead of the 2017. No screen blocking your view. Lovely interior and great sound.']",4.2
2015 Buick Enclave Leather,"111,488 mi.",NJ State Auto Used Cars,4.2,(672 reviews),"$13,517",Fair Deal,"['March 26, 2021\nBy Leo Appreciates a great ride from USA, USA\nOwns this car', 'Buick enclave great car for comfort and reliability and value Bought this car new\nAnd I’ve kept it much longer than most vehicles that I have purchased because it is such a great vehicle. Comfortable to drive in town and on road trips. Excellent for people in my big Shepherd enjoys riding in the back with the seats folded down', 'January 11, 2021\nBy D Horsechief from Lawton,OK\nOwns this car', 'I have enough room for my big family! Vehicle drives smoothly on and off the highway probably the nicest thing I have ever bought for myself and kids.', 'September 27, 2020\nBy Jimmy from tucson, az\nOwns this car', ""Smooth ride, great power, room for everything, and really comfortable. My only knock on there isn't a whole lot of acceleration. I can't speak about reliability yet as I've only owned the car about a month.""]",4.2
2012 Jeep Grand Cherokee Laredo,"133,821 mi.",Road Masters II Inc.,n/a,(77 reviews),"$9,995",Great Deal | $399 under,"['June 28, 2023\nBy CatTayl from Chatsworth, Illinois\nOwns this car', 'Bought this SUV last week. My ""new"" 2012 JGC had 227,000 miles on it. The salesperson didn\'t know much about the Jeep, as it was a Ford dealership I had gone to. Two days later, I had to go for preparations to bury my son, over 800 miles away. I was very fearful, because I had this JGC that I had never driven before, and I was on this journey alone. I have seen so many cars with temp plates sitting on the side of the road, and was fearful mine could just be another one. Needless to say, the only 2 things I haven\'t liked about my vehicle transaction, is that there is no owners manual, and evidently the sensor for low fuel doesn\'t work. I knew about the owners manual before the purchase, but not the low fuel indicator. I will just fill up at 1/4 tank asI always have. LOVE, LOVE this vehicle.....stylish, comfy, and all the perks. Auto start and heated seats will surely be welcomed as winter can hit hard here in the midwest. So far, the best car I\'ve had, and I\'ve had a lot over the last 55 years!', 'March  4, 2023\nBy Sokomani from Durban South Africa\nOwns this car', 'I love so much Jeep cars and they are reliable and heavy duty, my concern is about lights I offen replace them, oil cooling system, shocks and water circulation.  Other that this is a number 1 car. I love it.', 'May 25, 2021\nBy Matt from sarasota\nOwns this car', 'This Jeep is very responsive. plenty of room in the hatch with or without the seats down. The seats are comfortable and the moon roof is wonderful .']",4.5
2010 Toyota Camry LE,"116,643 mi.",Arrow Motors,4.8,(220 reviews),"$9,999",Good Deal,"['January 24, 2023\nBy Pauline from St bernard louisiana\nOwns this car', ""I wish i could i got a 2010 Toyota Camry for a gift from my daughter and her husband its was over 10 thousand i made 15 payments on it so for and still own a little over 5 thousand when i got the car it ran great then the driver side of the AC went out the passengers side work but not the driver side i had the car for over 2 years now its sitting in front my house i went to the store in it and it just kill on me the engine would turn over but it would not start i spent over 300 for parts got a new fuel pump kit for it and change the spark plugs in it but it still not running im so stress with the car for all times for it to stop running on me i got a husband in icu and miss a lot of work i can't afford to get another car and its hard to get a ride and depending on a ride i only wish i knew what is wrong with my car i don't mean to be mean about the car  i did love the car but what good is it doing me now not running i just don't no what to do im just so heart broken"", 'July  1, 2022\nBy Steve J from Bermuda Dunes, California\nOwns this car', 'What out a doubt, the best vehicle I have ever owned.  Even with 140,000 miles, engine performance is awesome. The SE models suspension makes driving the car easy to handle even in strong winds and rain. Brakes are also impressive. I have not had a single breakdown. I regularly service tires, engine oil, filters, coolant, and brakes. The transmission has been serviced once. The car still drives and handles better than most new cars!', 'May 17, 2021\nBy Paullescault17 from West Barnstable Massachusetts\nOwns this car', 'Very spacious and practical family sedan love it great gas mileage great running car very reliable I would highly recommend a Toyota camry too anyone looking for a reliable dependable and affordable vehicle']",5.0
2014 Volkswagen Beetle Auto 1.8T w/Sun PZEV,"130,619 mi.",Arrow Motors,4.8,(220 reviews),"$10,499",Good Deal | $116 under,"['September 26, 2020\nBy LuvBug from Des Moines, Iowa\nOwns this car', 'Solid for a convertible. Goes surprisingly well in the snow and with the seats down can haul stuff. I have this as my only car and it is actually very practical.  Plus, it’s just a joy to drive.', 'September 19, 2020\nBy Dustin from Biloxi, Ms\nOwns this car', 'This car only had 11,000 miles basically a brand new car and it’s an affordable price! Also rides very smooth I can tell it was very taken care of! Love it!', 'September 17, 2019\nBy Lisa from Pilesgrove, NJ\nOwns this car', 'This car was loaded with features I did not expect. For the price it was a tremendous good deal. Leather and heated seats, Fender audio speakers, automatic plus manual transmission, convertible, etc.']",5.0
2016 Mazda Mazda6 i Touring,"111,588 mi.",Arrow Motors,4.8,(220 reviews),"$13,499",Good Deal,"['October 30, 2022\nBy RChico456 from Las Vegas, NV\nOwns this car', 'I feel very very proud when behind the wheel of my 2016 Mazda 6 Sport and driving it on highways!  With record 35,650 miles, it drives very smooth and very efficient.  It’s reliability and looks is what makes it a perfect car of my taste.  Drive one and feel for yourself!', 'June 10, 2021\nBy L. I. D. from Texas\nOwns this car', 'stylish but rides rougher than I recall during the test drive. Nevertheless, I feel safe in it. My last Mazda was totalled by an 18-wheeler and it saved my life. As crazy as they drive  in Houston, I hope this one will do the same!', 'May  6, 2021\nBy A. Scott from WV\nOwns this car', 'Have owned the car about a month and it still looks sexy to me every time I see it. Owned many cars but this is the most premium feeling car I have ever owned. Hits way above its price tag. The seats are very comfortable, plenty of room for taller people in back and front. Gas mileage is great and the Bose radio is very enjoyable to listen too.  Almost everything inside feels good to the touch and is premium. Is it perfect? No. The road noise is loud. Almost too loud. I knew that going into it but didn’t think it would be an issue but its annoying (and this is coming from a 2003 camry). The ride is firm and sporty so don’t expect a lounge chair, the upside to that is excellent handling. Storage inside is minimal and beside the road noise is my only big complaint.  But at least the trunk is generous and their is room where it counts. This car gets looks everywhere I go and is fun to drive. No it’s not fast but it is adequate.  So in summary the three biggest highlights are looks, mpg and premium feel. If those are not high priorities look elsewhere.  It was a good deal and fits my needs for now. Would I buy again? Probably not. The latest generation camry isn’t far off the marks in the looks department and I can only speculate offers more supple ride and far less road noise. But used ones still cost more then the mazda 6 I bought as well. Im hoping the mazda is as reliable as it is nice to look at and that will help.']",5.0
