,Name,Mileage,Dealer Name,Rating,Review Count,Price,Year,Make,Model,Type
20,2017 Chevrolet Cruze LT,"68,757 mi.",Auburn Chevrolet,4.5,(322 reviews),12977.0,2017,Chevrolet,Cruze,LT
21,2014 GMC Acadia Denali,"139,772 mi.",T&S Auto Sales Inc,4.140820980615735,(1 review),10995.0,2014,GMC,Acadia,Denali
22,2007 Mercedes-Benz CL-Class CL550,"105,234 mi.",T&S Auto Sales Inc,4.140820980615735,(1 review),13995.0,2007,Mercedes-Benz,CL-Class,CL550
23,2015 Hyundai Tucson GLS,"60,221 mi.",Koons of Falls Church Ford,3.8,(990 reviews),15000.0,2015,Hyundai,Tucson,GLS
24,2012 Nissan Xterra S,"130,716 mi.",Medina Auto Mall,4.4,(282 reviews),10495.0,2012,Nissan,Xterra,S
25,2016 Land Rover Discovery Sport SE,"105,271 mi.",Jaguar Land Rover South Orlando,4.140820980615735,(7 reviews),11526.0,2016,Land,Rover,Discovery Sport SE
26,2014 Honda Accord LX,"151,849 mi.",Vandross Auto Sales,4.140820980615735,(108 reviews),10900.0,2014,Honda,Accord,LX
27,2011 Nissan 370Z Base,"157,417 mi.",Norm Reeves Honda Superstore North Richland Hills,4.9,(419 reviews),12997.0,2011,Nissan,370Z,Base
28,2006 Ford Mustang GT Premium,"160,654 mi.",M&F Auto Sales,4.140820980615735,(85 reviews),14950.0,2006,Ford,Mustang,GT Premium
29,2013 Toyota Corolla L,"141,555 mi.",Beaver Toyota of St. Augustine,4.9,"(3,904 reviews)",7988.0,2013,Toyota,Corolla,L
30,2013 MINI Roadster Cooper S,"81,675 mi.",Extreme Autoplex LLC,3.7,(126 reviews),12749.0,2013,MINI,Roadster,Cooper S
31,2013 Chevrolet Silverado 1500 LT,"141,934 mi.",Tom Wood Honda,4.0,(904 reviews),14495.0,2013,Chevrolet,Silverado,1500 LT
32,2012 MINI Cooper Base,"116,021 mi.",Titanium International Motors LLC,4.2,(13 reviews),7690.0,2012,MINI,Cooper,Base
33,2010 Nissan Altima 2.5 S,"128,171 mi.",Auto Galleria LLC,4.140820980615735,(4 reviews),7488.0,2010,Nissan,Altima,2.5 S
34,2018 Volkswagen Jetta 1.4T Wolfsburg Edition,"95,375 mi.",Complete Auto Center Inc,4.140820980615735,(0 reviews),12999.0,2018,Volkswagen,Jetta,1.4T Wolfsburg Edition
35,2005 Toyota 4Runner Sport,"172,616 mi.","G-Inspired Automall, LLC.",3.5,(41 reviews),9495.0,2005,Toyota,4Runner,Sport
36,2017 Hyundai Sonata SE,"90,793 mi.",Fort Walton Mitsubishi,4.0,(10 reviews),14995.0,2017,Hyundai,Sonata,SE
37,2017 Nissan Quest SV,"150,474 mi.",Fitzgerald Auto Mall Clearwater Used Car Outlet,4.9,(55 reviews),8997.0,2017,Nissan,Quest,SV
38,2011 Jeep Wrangler 70th Anniversary,"125,100 mi.",Bob Ruth Ford,4.8,"(1,878 reviews)",13977.0,2011,Jeep,Wrangler,70th Anniversary
39,2002 Ford F-150 XLT SuperCrew,"142,026 mi.",Cade Motor Company,4.140820980615735,(10 reviews),8995.0,2002,Ford,F-150,XLT SuperCrew
40,2013 Kia Optima SX,"115,315 mi.",BMW VW of Topeka,4.5,(202 reviews),12995.0,2013,Kia,Optima,SX
41,2018 Hyundai Santa Fe Sport 2.4L,"95,361 mi.",Lou Sobh Kia of Brunswick,4.9,(847 reviews),14987.0,2018,Hyundai,Santa,Fe Sport 2.4L
42,2013 Audi A6 2.0T Premium Plus,"100,554 mi.",Auto Valley Group,4.140820980615735,(6 reviews),13490.0,2013,Audi,A6,2.0T Premium Plus
43,2012 Dodge Journey SXT,"110,161 mi.","G-Inspired Automall, LLC.",3.5,(41 reviews),9795.0,2012,Dodge,Journey,SXT
44,2013 Subaru Impreza 2.0i Premium,"44,043 mi.",Walt Sweeney Ford,4.8,(615 reviews),14988.0,2013,Subaru,Impreza,2.0i Premium
45,2013 Toyota Corolla S,"93,280 mi.",Walt Sweeney Ford,4.8,(615 reviews),13323.0,2013,Toyota,Corolla,S
46,2015 Chevrolet Cruze LS,"94,876 mi.",Frank Boucher VW Kia of Racine,4.6,(927 reviews),9777.0,2015,Chevrolet,Cruze,LS
47,2013 Jeep Grand Cherokee Laredo,"91,423 mi.",Safford Brown Nissan Fairfax,4.9,"(1,232 reviews)",14000.0,2013,Jeep,Grand,Cherokee Laredo
48,2008 Mitsubishi Eclipse Spyder GT,"82,337 mi.",Walt Sweeney Ford,4.8,(615 reviews),9445.0,2008,Mitsubishi,Eclipse,Spyder GT
49,2010 Ford Escape XLT,"131,419 mi.",Vandross Auto Sales,4.140820980615735,(108 reviews),5999.0,2010,Ford,Escape,XLT
50,2014 Nissan Armada Platinum,"84,908 mi.",McGrath Highway Chevrolet GMC,3.6,(164 reviews),15000.0,2014,Nissan,Armada,Platinum
51,2003 GMC Yukon XL Denali,"167,223 mi.",Supreme Automotive,4.5,(60 reviews),5499.0,2003,GMC,Yukon,XL Denali
52,2010 INFINITI QX56 ,"169,945 mi.",The Autobarn Volvo Cars of Oak Park,4.9,(995 reviews),9590.0,2010,INFINITI,QX56,
53,2011 Toyota Camry XLE,"99,886 mi.",Grand Subaru,4.9,"(3,616 reviews)",12954.0,2011,Toyota,Camry,XLE
54,2012 Nissan Xterra S,"130,716 mi.",Medina Auto Mall,4.4,(282 reviews),10495.0,2012,Nissan,Xterra,S
55,2016 Land Rover Discovery Sport SE,"105,271 mi.",Jaguar Land Rover South Orlando,4.140820980615735,(7 reviews),11526.0,2016,Land,Rover,Discovery Sport SE
56,2007 Ford Mustang GT Premium,"189,479 mi.",Chiefland Ford,2.0,(68 reviews),5984.0,2007,Ford,Mustang,GT Premium
57,2012 GMC Terrain SLT-2,"116,044 mi.",White Motor Company,5.0,(21 reviews),14500.0,2012,GMC,Terrain,SLT-2
58,2013 Ford Fusion SE,"140,290 mi.",Vandross Auto Sales,4.140820980615735,(108 reviews),7995.0,2013,Ford,Fusion,SE
59,2011 Mitsubishi Eclipse GS Sport,"142,826 mi.",Bob Walters Linton Motors,4.140820980615735,(0 reviews),7995.0,2011,Mitsubishi,Eclipse,GS Sport
60,2002 Ford F-150 XLT SuperCrew,"142,026 mi.",Cade Motor Company,4.140820980615735,(10 reviews),8995.0,2002,Ford,F-150,XLT SuperCrew
61,2013 Kia Optima SX,"115,315 mi.",BMW VW of Topeka,4.5,(202 reviews),12995.0,2013,Kia,Optima,SX
62,2016 Nissan Quest SV,"105,285 mi.",Elk Grove Dodge Chrysler Jeep Ram,4.7,"(1,151 reviews)",14802.0,2016,Nissan,Quest,SV
63,2012 MINI Cooper Base,"116,021 mi.",Titanium International Motors LLC,4.2,(13 reviews),7690.0,2012,MINI,Cooper,Base
64,2013 Toyota RAV4 LE,"139,262 mi.",Hoffman Toyota,4.6,"(1,070 reviews)",13333.0,2013,Toyota,RAV4,LE
65,2011 Jeep Wrangler 70th Anniversary,"125,100 mi.",Bob Ruth Ford,4.8,"(1,878 reviews)",13977.0,2011,Jeep,Wrangler,70th Anniversary
66,2002 Ford F-150 XLT SuperCrew,"142,026 mi.",Cade Motor Company,4.140820980615735,(10 reviews),8995.0,2002,Ford,F-150,XLT SuperCrew
67,2013 Kia Optima SX,"115,315 mi.",BMW VW of Topeka,4.5,(202 reviews),12995.0,2013,Kia,Optima,SX
68,2006 Ford Mustang GT Premium,"160,654 mi.",M&F Auto Sales,4.140820980615735,(85 reviews),14950.0,2006,Ford,Mustang,GT Premium
69,2017 Nissan Altima 2.5 S,"148,791 mi.",The Kia Store Preston,2.2,(66 reviews),8897.0,2017,Nissan,Altima,2.5 S
70,2004 Saturn Vue V6,"182,314 mi.",Findlay Downtown Toyota Spokane,4.6,(902 reviews),3017.0,2004,Saturn,Vue,V6
71,2013 Ford F-150 XLT,"184,052 mi.",Furrst Class Cars,3.9,(52 reviews),14495.0,2013,Ford,F-150,XLT
72,2008 Mitsubishi Eclipse Spyder GT,"82,337 mi.",Walt Sweeney Ford,4.8,(615 reviews),9445.0,2008,Mitsubishi,Eclipse,Spyder GT
73,2010 Ford Escape XLT,"131,419 mi.",Vandross Auto Sales,4.140820980615735,(108 reviews),5999.0,2010,Ford,Escape,XLT
74,2003 GMC Yukon XL Denali,"167,223 mi.",Supreme Automotive,4.5,(60 reviews),5499.0,2003,GMC,Yukon,XL Denali
75,2004 Dodge Dakota SLT,"98,110 mi.",Cassill Motors,4.6,(168 reviews),13497.0,2004,Dodge,Dakota,SLT
76,2013 Ford Explorer XLT,"134,470 mi.",Superior Ford,3.7,"(2,710 reviews)",11988.0,2013,Ford,Explorer,XLT
77,2013 Chevrolet Avalanche LTZ,"269,895 mi.",Rainbow Mitsubishi North,4.7,(557 reviews),14787.0,2013,Chevrolet,Avalanche,LTZ
78,2013 BMW X3 xDrive28i,"97,817 mi.",Rainbow Mitsubishi North,4.7,(557 reviews),12787.0,2013,BMW,X3,xDrive28i
79,2013 Ford Edge SEL,"124,537 mi.",Ford & Lincoln of Lafayette,4.140820980615735,(0 reviews),9500.0,2013,Ford,Edge,SEL
80,2014 Nissan Altima 2.5 S,"107,615 mi.",Mike Rezi Nissan Atlanta,4.9,"(2,341 reviews)",9000.0,2014,Nissan,Altima,2.5 S
81,2013 Chevrolet Silverado 1500 LT,"141,934 mi.",Tom Wood Honda,4.0,(904 reviews),14495.0,2013,Chevrolet,Silverado,1500 LT
82,2018 Hyundai Elantra Limited,"103,900 mi.",Smart Hyundai of Davenport,4.8,(168 reviews),12795.0,2018,Hyundai,Elantra,Limited
83,2014 Nissan Altima 2.5 S,"107,615 mi.",Mike Rezi Nissan Atlanta,4.9,"(2,341 reviews)",9000.0,2014,Nissan,Altima,2.5 S
84,1999 Jeep Wrangler Sahara,"151,997 mi.",Szott M-59 Chrysler Jeep,3.9,(386 reviews),14749.0,1999,Jeep,Wrangler,Sahara
85,2013 Ford Explorer XLT,"134,470 mi.",Superior Ford,3.7,"(2,710 reviews)",11988.0,2013,Ford,Explorer,XLT
86,2007 Kia Sportage EX,"127,862 mi.",Milaca Motors,2.8,(128 reviews),6975.0,2007,Kia,Sportage,EX
87,2007 Ford Mustang 4.0,"159,133 mi.",Ramsey Corp. Com,3.0,(142 reviews),6399.0,2007,Ford,Mustang,4.0
88,2018 Hyundai Elantra Limited,"103,900 mi.",Smart Hyundai of Davenport,4.8,(168 reviews),12795.0,2018,Hyundai,Elantra,Limited
89,2014 Ford Explorer XLT,"147,115 mi.",Feldman Chevrolet of New Hudson,4.6,"(4,586 reviews)",10851.0,2014,Ford,Explorer,XLT
90,2002 BMW 330 Ci,"86,187 mi.",Victory Motors,3.0,(45 reviews),8777.0,2002,BMW,330,Ci
91,2013 BMW X3 xDrive28i,"97,817 mi.",Rainbow Mitsubishi North,4.7,(557 reviews),12787.0,2013,BMW,X3,xDrive28i
92,2013 Chevrolet Avalanche LTZ,"269,895 mi.",Rainbow Mitsubishi North,4.7,(557 reviews),14787.0,2013,Chevrolet,Avalanche,LTZ
93,2013 Mercedes-Benz C-Class Sport,"118,594 mi.",Fred Anderson Chevrolet Buick GMC Cadillac,4.6,"(4,439 reviews)",9272.0,2013,Mercedes-Benz,C-Class,Sport
94,2014 Honda Accord EX-L,"151,354 mi.",Suburban Honda,4.6,(989 reviews),12209.0,2014,Honda,Accord,EX-L
95,2007 Hummer H3 ,"198,953 mi.",Inspired Auto Sales,4.140820980615735,(3 reviews),5999.0,2007,Hummer,H3,
96,2000 Jeep Wrangler Sahara,"179,178 mi.",Car World,3.5,(43 reviews),11995.0,2000,Jeep,Wrangler,Sahara
97,2011 Nissan Leaf SL,"40,530 mi.",St. Wannas Auto Sales,4.140820980615735,(2 reviews),8000.0,2011,Nissan,Leaf,SL
98,2014 Lexus RX 350 350,"158,290 mi.",BMW of Fairfield,4.6,(24 reviews),14987.0,2014,Lexus,RX,350 350
99,2005 Honda Accord LX,"119,084 mi.",Bill Robertson Nissan,3.9,(620 reviews),8592.0,2005,Honda,Accord,LX
100,2015 Toyota RAV4 LE,"144,956 mi.",Russ Darrow Mazda of Greenfield,3.8,(701 reviews),13142.0,2015,Toyota,RAV4,LE
101,2012 Kia Sedona EX,"119,012 mi.",Ron Tonkin Kia,4.6,(897 reviews),8987.0,2012,Kia,Sedona,EX
102,2011 Honda Fit Sport,"106,027 mi.",Volkswagen of Downtown Chicago,4.5,"(2,169 reviews)",10991.0,2011,Honda,Fit,Sport
103,2016 Jeep Patriot Sport,"115,198 mi.",Uftring Weston Chevrolet Cadillac,3.6,(215 reviews),11990.0,2016,Jeep,Patriot,Sport
104,2018 Hyundai Elantra Limited,"103,900 mi.",Smart Hyundai of Davenport,4.8,(168 reviews),12795.0,2018,Hyundai,Elantra,Limited
105,2007 Kia Sportage EX,"127,862 mi.",Milaca Motors,2.8,(128 reviews),6975.0,2007,Kia,Sportage,EX
106,2012 Kia Sedona EX,"119,012 mi.",Ron Tonkin Kia,4.6,(897 reviews),8987.0,2012,Kia,Sedona,EX
107,2011 Honda Fit Sport,"106,027 mi.",Volkswagen of Downtown Chicago,4.5,"(2,169 reviews)",10991.0,2011,Honda,Fit,Sport
108,2010 Honda Civic LX,"76,740 mi.",Frankfort Auto Haus,4.140820980615735,(104 reviews),12950.0,2010,Honda,Civic,LX
109,2015 Ford Focus SE,"97,800 mi.",AVA Auto Sales,4.140820980615735,(8 reviews),7999.0,2015,Ford,Focus,SE
110,2014 Ford Explorer XLT,"147,115 mi.",Feldman Chevrolet of New Hudson,4.6,"(4,586 reviews)",10851.0,2014,Ford,Explorer,XLT
111,2002 BMW 330 Ci,"86,187 mi.",Victory Motors,3.0,(45 reviews),8777.0,2002,BMW,330,Ci
112,2014 Lexus RX 350 350,"158,290 mi.",BMW of Fairfield,4.6,(24 reviews),14987.0,2014,Lexus,RX,350 350
113,2017 Nissan Altima 2.5 SV,"126,549 mi.",Atlas Auto LLC,4.1,(34 reviews),10995.0,2017,Nissan,Altima,2.5 SV
114,2008 Mazda Mazda6 iSport VE,"184,708 mi.",Jeff Wyler Lawrenceburg,4.140820980615735,(394 reviews),3975.0,2008,Mazda,Mazda6,iSport VE
115,2013 Mazda Mazda5 Grand Touring,"120,035 mi.",Gretna Auto Outlet,4.6,(485 reviews),9988.0,2013,Mazda,Mazda5,Grand Touring
116,2010 Cadillac CTS Premium,"71,487 mi.",Szott M-59 Chrysler Jeep,3.9,(386 reviews),12922.0,2010,Cadillac,CTS,Premium
117,2011 Nissan Versa 1.8 S,"87,045 mi.",Mazda of Palm Beach,4.8,"(2,792 reviews)",7398.0,2011,Nissan,Versa,1.8 S
118,2015 Volvo XC60 T5 Premier,"138,223 mi.",Star Motor Sales,3.5,(192 reviews),11981.0,2015,Volvo,XC60,T5 Premier
119,2011 Ford Transit Connect Base,"113,433 mi.",Grand Lux Auto,4.140820980615735,(17 reviews),8900.0,2011,Ford,Transit,Connect Base
120,2015 Volkswagen e-Golf Limited Edition,"48,708 mi.",Reliable Chevrolet,4.9,"(2,917 reviews)",13999.0,2015,Volkswagen,e-Golf,Limited Edition
121,2000 Pontiac Firebird Trans Am,"69,929 mi.",LaFontaine Ford of Grand Rapids,3.9,(133 reviews),14995.0,2000,Pontiac,Firebird,Trans Am
122,2008 BMW X5 4.8i,"139,563 mi.",Tom Wood Honda,4.0,(904 reviews),4995.0,2008,BMW,X5,4.8i
123,2012 Toyota Corolla S,"127,765 mi.",Acura of Ellicott City,4.3,(456 reviews),8950.0,2012,Toyota,Corolla,S
124,2010 Acura ZDX ,"134,701 mi.",Aristocrat Motors Lee's Summit,4.5,(11 reviews),13780.0,2010,Acura,ZDX,
125,2011 Ford Transit Connect Base,"113,433 mi.",Grand Lux Auto,4.140820980615735,(17 reviews),8900.0,2011,Ford,Transit,Connect Base
126,2011 Nissan Versa 1.8 S,"87,045 mi.",Mazda of Palm Beach,4.8,"(2,792 reviews)",7398.0,2011,Nissan,Versa,1.8 S
127,2015 Volkswagen e-Golf Limited Edition,"48,708 mi.",Reliable Chevrolet,4.9,"(2,917 reviews)",13999.0,2015,Volkswagen,e-Golf,Limited Edition
128,1989 Toyota Celica ST,"48,954 mi.",Auto Showcase of Carol Stream,3.9,(62 reviews),13995.0,1989,Toyota,Celica,ST
129,2009 Honda Civic LX-S,"54,516 mi.",M & S Auto,4.140820980615735,(46 reviews),12988.0,2009,Honda,Civic,LX-S
130,2009 Ford E150 XLT,"74,466 mi.",Grand Subaru,4.9,"(3,616 reviews)",13724.0,2009,Ford,E150,XLT
131,2009 BMW 335 i,"104,247 mi.",Foundation Chevrolet & Cadillac,4.2,"(1,160 reviews)",11648.0,2009,BMW,335,i
132,2011 Ford Edge Limited,"125,578 mi.",Platinum Autos,3.5,(125 reviews),9998.0,2011,Ford,Edge,Limited
133,2006 Toyota Tacoma Access Cab,"155,548 mi.",Coggin Honda of Fort Pierce,3.3,(661 reviews),9999.0,2006,Toyota,Tacoma,Access Cab
134,2003 Mercedes-Benz C-Class 4dr Sdn 2.6L,"206,080 mi.",Fitzgerald Chrysler Jeep Dodge RAM Lexington Park,4.4,(457 reviews),5500.0,2003,Mercedes-Benz,C-Class,4dr Sdn 2.6L
135,2015 BMW 328 i xDrive,"85,721 mi.",Ourisman Fairfax Kia,1.5,(234 reviews),14499.0,2015,BMW,328,i xDrive
136,2010 Lexus ES 350 Base (A6),"87,820 mi.",Mac Haik Chevrolet,4.9,"(1,713 reviews)",13399.0,2010,Lexus,ES,350 Base (A6)
137,2011 Lincoln Navigator L,"110,626 mi.",Thornhill Motor Company,2.9,(13 reviews),14975.0,2011,Lincoln,Navigator,L
138,2007 Lexus RX 350 Base (A5),"62,733 mi.",Steve & Sons Auto Sales & Rv's Llc,4.140820980615735,(3 reviews),14500.0,2007,Lexus,RX,350 Base (A5)
139,2017 Chevrolet Traverse LS,"233,370 mi.",Suburban Imports and Mazda of Troy,4.1,(809 reviews),4500.0,2017,Chevrolet,Traverse,LS
140,2016 Subaru Forester 2.5i,"91,271 mi.",Payless Car Sales,2.9,(43 reviews),13593.0,2016,Subaru,Forester,2.5i
141,2011 Scion xD Release Series 3.0,"87,733 mi.",CardinaleWay Mazda Las Vegas,4.7,(407 reviews),8497.0,2011,Scion,xD,Release Series 3.0
142,2014 Chrysler 300 S,"153,845 mi.",Upstate Chrysler Dodge Jeep RAM,4.6,(281 reviews),10750.0,2014,Chrysler,300,S
143,2014 Jeep Patriot Latitude,"99,300 mi.",American Imports,2.8,(44 reviews),5995.0,2014,Jeep,Patriot,Latitude
144,2014 Chevrolet Camaro 2LS,"61,048 mi.",Toyota of Santa Barbara,4.140820980615735,(0 reviews),14895.0,2014,Chevrolet,Camaro,2LS
145,2009 Lexus IS 250 ,"118,805 mi.",Wilsonville Subaru,4.9,"(1,718 reviews)",12871.0,2009,Lexus,IS,250 
146,2017 Hyundai Elantra SE,"82,704 mi.",Gerald Subaru of Naperville,4.9,"(7,238 reviews)",12758.0,2017,Hyundai,Elantra,SE
147,2014 Ford Edge SEL,"100,661 mi.",Oakes Kia,4.7,"(3,270 reviews)",13000.0,2014,Ford,Edge,SEL
148,2008 Honda Civic EX,"165,593 mi.",Performance Kings Honda,3.1,"(1,069 reviews)",5906.0,2008,Honda,Civic,EX
149,2012 Toyota Corolla S,"127,765 mi.",Acura of Ellicott City,4.3,(456 reviews),8950.0,2012,Toyota,Corolla,S
150,2009 Ford E150 XLT,"74,466 mi.",Grand Subaru,4.9,"(3,616 reviews)",13724.0,2009,Ford,E150,XLT
151,2000 Pontiac Firebird Trans Am,"69,929 mi.",LaFontaine Ford of Grand Rapids,3.9,(133 reviews),14995.0,2000,Pontiac,Firebird,Trans Am
152,1989 Toyota Celica ST,"48,954 mi.",Auto Showcase of Carol Stream,3.9,(62 reviews),13995.0,1989,Toyota,Celica,ST
153,2008 BMW X5 4.8i,"139,563 mi.",Tom Wood Honda,4.0,(904 reviews),4995.0,2008,BMW,X5,4.8i
154,2009 BMW 335 i,"104,247 mi.",Foundation Chevrolet & Cadillac,4.2,"(1,160 reviews)",11648.0,2009,BMW,335,i
155,2011 Ford Edge Limited,"125,578 mi.",Platinum Autos,3.5,(125 reviews),9998.0,2011,Ford,Edge,Limited
156,2014 Toyota Sienna LE,"178,839 mi.",Sunrise Ford Volkswagen,4.6,"(1,109 reviews)",7954.0,2014,Toyota,Sienna,LE
157,2010 Nissan Pathfinder SE,"182,622 mi.",Vandross Auto Sales,4.140820980615735,(108 reviews),5900.0,2010,Nissan,Pathfinder,SE
158,2016 Jeep Patriot Sport,"84,906 mi.",Deery Brothers Chrysler Dodge Jeep Ram of Waukee,3.3,(346 reviews),10500.0,2016,Jeep,Patriot,Sport
159,2016 Honda Accord Sport,"137,580 mi.",Jeff Wyler Acura of Fairfield,4.140820980615735,(91 reviews),14143.0,2016,Honda,Accord,Sport
160,2016 Jeep Renegade Sport,"76,182 mi.",Auto Valley Group,4.140820980615735,(6 reviews),12490.0,2016,Jeep,Renegade,Sport
161,2006 Buick LaCrosse CX,"100,607 mi.",Kia of North Austin,4.8,"(1,632 reviews)",5955.0,2006,Buick,LaCrosse,CX
162,2010 Honda Odyssey EX,"185,025 mi.",Luther Hopkins Honda,4.9,"(2,384 reviews)",9395.0,2010,Honda,Odyssey,EX
163,2012 Mercedes-Benz C-Class C 300 4MATIC Luxury,"86,565 mi.",Import Exchange Inc.,4.140820980615735,(28 reviews),14350.0,2012,Mercedes-Benz,C-Class,C 300 4MATIC Luxury
164,2014 Ford Focus SE,"59,578 mi.",Brookdale Chrysler Jeep Dodge RAM,4.8,"(3,781 reviews)",10750.0,2014,Ford,Focus,SE
165,2012 Toyota Prius Four,"113,017 mi.",FrontlineCars,4.140820980615735,(2 reviews),13000.0,2012,Toyota,Prius,Four
166,2019 Mitsubishi Outlander Sport 2.0 SE,"108,021 mi.",Greenway Mazda,4.6,(425 reviews),14126.0,2019,Mitsubishi,Outlander,Sport 2.0 SE
167,2013 Honda Civic LX,"128,080 mi.",Holcomb's Auto Sales and Service,5.0,(80 reviews),10500.0,2013,Honda,Civic,LX
168,2011 Lincoln Navigator L,"110,626 mi.",Thornhill Motor Company,2.9,(13 reviews),14975.0,2011,Lincoln,Navigator,L
169,2007 Lexus RX 350 Base (A5),"62,733 mi.",Steve & Sons Auto Sales & Rv's Llc,4.140820980615735,(3 reviews),14500.0,2007,Lexus,RX,350 Base (A5)
170,2018 Nissan Sentra SV,"89,823 mi.",Grubbs Acura of Tulsa,4.8,(16 reviews),13999.0,2018,Nissan,Sentra,SV
171,2014 Chevrolet Camaro 2LS,"61,048 mi.",Toyota of Santa Barbara,4.140820980615735,(0 reviews),14895.0,2014,Chevrolet,Camaro,2LS
172,2015 Toyota Camry SE,"196,586 mi.",Kenosha Toyota,4.5,(8 reviews),9990.0,2015,Toyota,Camry,SE
173,2010 Honda Odyssey EX,"185,025 mi.",Luther Hopkins Honda,4.9,"(2,384 reviews)",9395.0,2010,Honda,Odyssey,EX
174,2014 Honda Crosstour EX-L,"121,434 mi.",Honda of Harvey,4.140820980615735,"(1,175 reviews)",13958.0,2014,Honda,Crosstour,EX-L
175,2016 Hyundai Elantra SE,"80,475 mi.",Busam Ford,4.140820980615735,0,11000.0,2016,Hyundai,Elantra,SE
176,1995 Mercedes-Benz E-Class E320,"238,049 mi.",M&B Auto Group,3.0,(45 reviews),5995.0,1995,Mercedes-Benz,E-Class,E320
177,2009 BMW 335 i,"104,247 mi.",Foundation Chevrolet & Cadillac,4.2,"(1,160 reviews)",11648.0,2009,BMW,335,i
178,2011 Ford Edge Limited,"125,578 mi.",Platinum Autos,3.5,(125 reviews),9998.0,2011,Ford,Edge,Limited
179,2012 Mercedes-Benz M-Class ML 350 4MATIC,"118,889 mi.",Sho Case Auto,4.5,(28 reviews),12900.0,2012,Mercedes-Benz,M-Class,ML 350 4MATIC
180,2016 Dodge Dart SXT,"59,263 mi.",Napleton's Northlake Chrysler Jeep Dodge RAM,4.2,"(1,102 reviews)",9750.0,2016,Dodge,Dart,SXT
181,2016 Jeep Patriot Sport,"84,906 mi.",Deery Brothers Chrysler Dodge Jeep Ram of Waukee,3.3,(346 reviews),10500.0,2016,Jeep,Patriot,Sport
182,2017 Hyundai Elantra SE,"82,704 mi.",Gerald Subaru of Naperville,4.9,"(7,238 reviews)",12758.0,2017,Hyundai,Elantra,SE
183,2014 Ford Edge SEL,"100,661 mi.",Oakes Kia,4.7,"(3,270 reviews)",13000.0,2014,Ford,Edge,SEL
184,2011 INFINITI G25x Base,"121,694 mi.",MIG Chrysler Dodge Jeep Ram,4.140820980615735,(282 reviews),9994.0,2011,INFINITI,G25x,Base
185,2012 Chevrolet Cruze LS,"159,029 mi.",Ed Martin Budget Cars,5.0,(204 reviews),4991.0,2012,Chevrolet,Cruze,LS
